siteName,SLFL,year,Tmean,Tq50,Tq75,Tq95,Tmax
Arlington Reef,SL,2001,28.487478133608814,28.605916666666666,29.0788125,29.870916666666666,30.3633125
Arlington Reef,SL,2002,28.856676627249282,28.8701875,29.801083333333334,30.600354166666666,31.122291666666666
Arlington Reef,SL,2003,28.439432665973555,28.402125,28.908770833333335,29.690083333333334,29.820333333333334
Arlington Reef,SL,2004,28.43870286521916,28.703625000000002,29.218588541666666,30.033614583333335,30.527770833333335
Arlington Reef,SL,2007,28.12039171831956,28.222729166666667,29.00619375,29.841845833333334,30.1012375
Arlington Reef,SL,2008,29.542518084016393,30.139683333333334,30.83675520833333,31.51096947916667,31.636160416666666
Arlington Reef,SL,2010,28.344111876606977,28.485636729166668,29.150867840277776,29.941927243055556,30.273819652777778
Arlington Reef,SL,2011,28.32788373160275,28.471001479166667,28.87012984201389,29.608726388888886,29.828702305555556
Arlington Reef,SL,2012,28.470050590448544,28.689615968749997,29.279671163194443,29.68595641527778,29.83321851388889
Arlington Reef,SL,2013,28.686030809171257,28.893974534722222,29.393378541666667,30.08249223611111,30.26893476388889
Arlington Reef,SL,2014,27.482512353665125,27.525079090277778,27.699258027777777,27.970003623611113,28.285827659722223
Arlington Reef,SL,2015,28.770926015955006,28.755428208333335,29.3157369375,29.7632116875,30.009557354166667
Arlington Reef,SL,2016,29.33100139403522,29.419548194444445,29.656869911458333,30.024386001041666,30.589913944444444
Arlington Reef,SL,2018,28.419945460112487,28.497054659722224,29.067317451388888,29.355124840277778,29.504901347222223
Arlington Reef,SL,2019,28.301373535009184,28.39419182638889,28.6814431875,29.247327416666668,29.783325909722222
Arlington Reef,SL,2020,29.433380797821968,29.34615909375,29.957827776041665,30.327935652083333,30.3928574375
Barren Island,FL,2005,25.13285049479167,25.152145833333336,25.303325520833333,25.370940312499997,25.37553125
Barren Island,FL,2006,27.93635359848485,27.920510416666666,29.254864583333333,29.47885625,29.575958333333332
Barren Island,FL,2007,26.181333333333335,26.369729166666666,26.825583333333334,27.3125625,27.471375
Barren Island,FL,2009,26.679203271349863,26.92063125,27.37714375,27.834075,28.980216666666667
Barren Island,FL,2012,26.396050789617487,26.410214524305555,27.485441762152778,27.93270809861111,28.09886042361111
Barren Island,FL,2018,26.95723680211203,27.259022444444444,27.834496652777776,28.180642375,28.455253166666665
Barren Island,FL,2019,26.7413652027663,26.932114326388888,27.396050034722222,27.802757368055556,27.949508152777778
Barren Island,FL,2020,0,0,0,0,0
Barren Island,SL,2007,26.148415633608817,26.350708333333333,26.801291666666668,27.267104166666666,27.447354166666667
Barren Island,SL,2008,26.460738678278688,26.49714375,27.210213541666665,28.049964375,28.25361875
Barren Island,SL,2009,26.780761776859503,27.014672916666665,27.4535625,27.8182875,28.845975
Barren Island,SL,2010,26.544064392597335,26.44313067013889,27.514189963541668,27.969811558333333,28.066940305555555
Barren Island,SL,2011,16.196126780344763,24.731720103472224,26.931130541160595,27.46767147013889,27.67442039166667
Barren Island,SL,2012,26.356783698142603,26.371670288194444,27.467884104166668,27.917013463183764,28.05804401388889
Barren Island,SL,2013,26.226843981376263,26.331984805555557,27.1339235625,27.81782703472222,27.94596863888889
Barren Island,SL,2014,26.14468022632522,25.980838631944444,26.670617166666666,27.445621305555555,27.664291430555554
Barren Island,SL,2015,27.263475883895776,27.46313339583333,27.797660097222224,28.374245458333334,28.614286555555555
Barren Island,SL,2016,27.102963741404828,27.25516134722222,27.517682743055556,28.236282527430557,28.841997902777777
Barren Island,SL,2017,27.501601771120292,28.118270312499998,28.4327471875,28.695946125,28.92697467361111
Barren Island,SL,2018,26.947384904097795,27.24072032638889,27.842780708333333,28.12658933333333,28.424286354166668
Barren Island,SL,2019,26.714222833907254,26.888928069444443,27.391409006944443,27.754311847222223,27.913055875
Barren Island,SL,2020,0,0,0,0,0
Bedarra Island,FL,2017,29.42261414273416,29.98950620138889,30.229397263888888,30.649119631944444,30.844452520833332
Bedarra Island,FL,2018,28.406673757001837,28.419744041666668,29.2061573125,29.72876539583333,30.190580861111112
Bedarra Island,FL,2020,0,0,0,0,0
Bedarra Island,SL,2017,29.360514485078053,29.931510506944445,30.07181178472222,30.395241708333334,30.651997263888887
Bedarra Island,SL,2018,28.404045089589072,28.454307180555556,29.116918722222223,29.701212215277778,30.11914048611111
Bedarra Island,SL,2019,28.125861011650596,28.305050069444444,28.762738645833334,29.17876228472222,29.32278376388889
Booby Island,FL,2013,29.258244036214418,29.258585673611112,29.68001596527778,30.462484104166666,30.60192084722222
Booby Island,FL,2017,29.044384340449955,29.218195583333333,29.68381821527778,30.099912520833332,30.376035194444444
Booby Island,SL,2013,29.317135415231864,29.339651902777778,29.7025421875,30.499162354166668,30.63070234027778
Booby Island,SL,2014,28.969275958677684,28.911865666666667,29.273231,30.153348333333334,30.581759
Booby Island,SL,2015,29.32184127032227,29.15356166666667,29.650230999999998,30.769347266666664,31.073817666666667
Border Island,FL,2013,26.241716356205483,26.36764407986111,26.573600492227566,26.638153513888888,26.661977375
Border Island,FL,2014,27.261806994662535,27.307539694444444,27.71361020138889,28.126018166666668,28.333893444444445
Border Island,FL,2015,28.321231688268835,28.437383142361114,28.661834907986112,28.980759218750002,29.386513055555557
Border Island,FL,2016,28.373092950478142,28.52212126388889,28.893879204861115,29.235036210416666,29.377209569444446
Border Island,FL,2017,28.942722513552866,29.026210954861114,29.17767040277778,29.407536148958332,29.511763069444445
Border Island,SL,2011,26.42869586093305,26.214461916666668,26.820784083333336,27.736987636111113,27.800236333333334
Border Island,SL,2012,27.93203573087432,28.022239677083334,28.830440508680553,29.160852954166664,29.261792180555556
Border Island,SL,2013,27.49712494339286,27.691106729166666,28.343694125,28.605841215277778,28.831195631944443
Border Island,SL,2014,27.354842688131313,27.339909006944445,27.906349875,28.278348152777777,28.452388388888888
Border Island,SL,2015,28.33451646821634,28.43123785763889,28.635036175347224,29.027742409375,29.443337895833334
Border Island,SL,2016,28.36159582365665,28.50020914583333,28.918249039930558,29.181267375347222,29.2957678125
Border Island,SL,2017,28.899088459005377,28.987051333333334,29.135506967013885,29.33100755,29.39847648611111
Bougainville Reef,FL,2009,28.82477355653122,28.822761236111113,29.436683722222224,29.96153807638889,30.412040722222223
Bougainville Reef,FL,2010,28.80554755653122,28.69485304861111,29.38034115972222,30.018241291666666,31.05472596527778
Bougainville Reef,FL,2014,28.290410922118916,28.237327708333332,28.603348493055556,29.133144791666666,29.41330536111111
Boult Reef,FL,2014,25.72437688756887,25.784336666666665,26.185990472222223,26.755633770833334,26.93137029861111
Boult Reef,FL,2015,26.67175742200413,26.928857930555555,27.317111395833333,27.614286319444446,28.069400756944443
Boult Reef,FL,2016,26.838381074681237,27.04414248263889,27.359944434027778,27.716622171875,28.001486819444445
Boult Reef,FL,2017,26.987315408115244,27.243812208333335,27.728843479166667,28.300539611111112,28.687438722222222
Boult Reef,FL,2018,26.50675925327135,26.652948451388887,27.160309020833335,27.526164597222223,27.800625854166668
Boult Reef,FL,2019,26.43182311208678,26.550920368055557,26.98808446527778,27.492525937499998,27.729734375
Boult Reef,FL,2020,26.390193331349206,26.321704597222222,26.565411427083333,26.92198855347222,27.008309347222223
Boult Reef,SL,2014,26.21684740943526,26.20549015972222,26.52773107638889,26.811272173611112,27.023102729166666
Boult Reef,SL,2015,26.860728528064737,26.992620465277778,27.31352692361111,27.602757208333333,28.016023395833333
Boult Reef,SL,2016,26.916454143784154,27.127847885416667,27.355761517361113,27.58100301076389,27.707388597222224
Boult Reef,SL,2017,27.075392660697887,27.217817951388888,27.647616993055557,28.2084270625,28.491299319444444
Boult Reef,SL,2018,26.708695638774106,26.789222104166665,27.072221708333334,27.343276284722222,27.523493277777778
Boult Reef,SL,2019,26.583389856577135,26.594351729166668,26.973467006944446,27.26132795138889,27.47640770138889
Boult Reef,SL,2020,26.39552281845238,26.371632784722223,26.476846052083335,26.550412080555557,26.569558847222222
Camp Island East,FL,2017,28.865686291092747,29.447172895833333,29.945594618055555,30.504894333333333,30.994629104166666
Camp Island East,FL,2018,28.062538282943066,28.066011097222223,29.09568264583333,29.785740368055556,29.93971901388889
Camp Island East,FL,2019,27.799385299758953,27.813869319444443,28.64846425,29.568795645833333,30.313141534722224
Cattle Bay,FL,1995,28.751535241246458,28.807083333333335,29.1775,29.79340277777778,30.05763888888889
Cattle Bay,FL,1996,28.436662439188794,28.46191489361702,29.145625,29.479375,30.086458333333333
Cattle Bay,FL,1997,27.657792467182972,28.09916666666667,28.515,29.19,29.710833333333333
Cattle Bay,FL,1998,28.91657669538714,28.766875,29.45375,30.852708333333332,31.454791666666665
Cattle Bay,FL,1999,28.500433261532148,29.052083333333332,29.538125,29.88104166666667,30.142083333333332
Cattle Bay,FL,2000,27.50242697070108,27.560625,27.981714317375886,28.80009375,29.15020833333333
Cattle Bay,FL,2001,28.021200376589885,27.9789375,28.59625,29.353458333333332,29.59210416666667
Cattle Bay,FL,2002,28.658294190698083,28.972,29.47275,29.8753125,30.191791666666667
Cattle Bay,FL,2003,28.705387194733476,28.767416666666666,29.092833333333335,29.7491875,29.931833333333334
Cattle Bay,FL,2004,28.378249146174863,28.734760416666667,29.316552083333335,29.871134374999997,30.299062499999998
Cattle Bay,FL,2005,28.88771911157025,28.903285416666666,29.42364583333333,29.95931875,30.268875
Cattle Bay,FL,2006,29.16535263429752,29.528064583333332,29.965816666666665,30.493222916666667,30.616554166666667
Cattle Bay,FL,2007,28.85939232093664,29.2327625,29.52583125,30.028299999999998,30.46275625
Cattle Bay,FL,2008,27.928723857187894,27.7562375,29.517791145833332,29.974790833333333,30.304464583333335
Cattle Bay,FL,2009,27.444704674586777,27.425267708333333,27.943434375,28.350958333333335,29.066204166666665
Cattle Bay,FL,2010,28.326231555325986,28.8862005625,29.192796472222224,29.60092295833333,29.81414396527778
Cattle Bay,FL,2011,28.56239383520054,28.927736652777778,29.14094230208333,30.045632022916664,30.32829322916667
Cattle Bay,FL,2012,28.60530879559426,28.869646763888888,29.333179953125,30.06257490763889,30.22541876388889
Cattle Bay,FL,2013,28.623733983528467,28.877868944444444,29.574358423611113,29.860279263888888,30.162073006944443
Cattle Bay,FL,2014,28.14143785152663,28.004830354166668,28.73274838888889,29.27467084027778,29.41862011111111
Cattle Bay,FL,2015,28.986418154843893,29.15026117361111,29.371072506944444,29.87110428472222,30.079160430555557
Cattle Bay,FL,2016,28.99157524153301,29.21080243837468,29.584857328124997,29.881464718055554,30.150458423611113
Cattle Bay,FL,2017,29.2185522369146,29.730288902777776,29.920133208333333,30.28722578472222,30.46697940972222
Cattle Bay,FL,2018,28.224794675160698,28.423010944444446,28.858261465277778,29.296361791666666,29.4438549375
Cattle Bay,FL,2019,28.065194630624426,28.29236736111111,28.62512638888889,29.12865659722222,29.330828125
Cattle Bay,FL,2020,14.646253050531914,14.724507876736112,14.879256318576388,15.038671430208334,15.176591763888888
Cattle Bay,SL,1995,28.74615258206658,28.800416666666667,29.230208333333334,29.675416666666667,29.976805555555554
Cattle Bay,SL,1996,28.449895628832575,28.6025,29.076666666666668,29.376041666666666,29.840833333333332
Cattle Bay,SL,1997,28.37374722222222,28.405208333333334,28.5396875,28.686666666666667,28.800625
Cattle Bay,SL,1998,28.828917600336897,28.72479166666667,29.425833333333333,30.648333333333333,31.011041666666667
Cattle Bay,SL,1999,27.61454082756595,28.024583333333332,28.297708333333333,29.39604166666667,29.535
Cattle Bay,SL,2000,27.364386043647603,27.373958333333334,27.801654476950354,28.670468749999998,28.973333333333333
Cattle Bay,SL,2002,0,0,0,0,0
Cattle Bay,SL,2003,0,0,0,0,0
Cattle Bay,SL,2004,28.230116461748633,28.58142708333333,29.1385,29.489893749999997,29.935375
Cattle Bay,SL,2005,28.82717925769698,28.8065,29.398872340425534,29.899775,30.244747916666668
Cattle Bay,SL,2006,29.137082403581267,29.523218749999998,29.908395833333334,30.481027083333334,30.57209375
Cattle Bay,SL,2007,29.57697074724518,29.958452083333334,30.207435416666666,30.604612499999998,30.865445833333332
Cattle Bay,SL,2008,28.184712876996638,27.87904375,30.126555208333333,30.638038124999998,30.927689583333333
Cattle Bay,SL,2009,27.952325774793387,27.9081125,28.416153125,28.718314583333335,29.143951041666668
Cattle Bay,SL,2010,28.408939175332875,29.031521895833333,29.272715138888888,29.54815485416667,29.73860736111111
Cattle Bay,SL,2011,28.15272672101699,28.47813261111111,28.885154222222223,29.696181965277777,30.18681476388889
Cattle Bay,SL,2012,28.457777985428052,28.717237861111112,29.201387079861114,29.88855603888889,29.9442066875
Cattle Bay,SL,2013,28.463933541896235,28.759721402777778,29.367834854166667,29.674411256944445,29.840505131944443
Cattle Bay,SL,2014,28.03509681003214,27.830437715277778,28.632508277777777,29.149970909722224,29.308792534722222
Cattle Bay,SL,2015,29.382532070649678,29.56721095138889,29.749184666666668,30.21159345138889,30.44905621527778
Cattle Bay,SL,2016,28.96756205531744,29.158719083333335,29.569476322916664,29.88013683784722,30.106574138888888
Cattle Bay,SL,2017,29.188764140725436,29.694195041666667,29.885252868055556,30.206716472222222,30.421118152777776
Cattle Bay,SL,2018,0,0,0,0,0
Cattle Bay,SL,2019,28.034438525769055,28.25158179861111,28.603020569444446,28.87874888888889,29.223791583333334
Cattle Bay,SL,2020,29.09289665499409,29.355192885416667,29.620303857638888,29.880059135416666,30.16598173611111
Centipede Reef,FL,2019,0,0,0,0,0
Centipede Reef,FL,2020,0,0,0,0,0
Centipede Reef,SL,2012,26.88352859388889,26.8686478125,26.977012875,27.066281095,27.08859815
Centipede Reef,SL,2013,28.073385289715336,28.05541028472222,28.452863756944446,28.968772368055557,29.470375097222224
Centipede Reef,SL,2014,27.88955640937787,28.028388125,28.308976145833334,28.562610993055554,28.860061770833333
Centipede Reef,SL,2015,28.588663887970615,28.596475006944445,28.95536495138889,29.193864659722223,29.39780928472222
Centipede Reef,SL,2016,28.742270680157105,28.80169823263889,29.175343151041666,29.382204194444444,29.597330819444444
Centipede Reef,SL,2019,0,0,0,0,0
Centipede Reef,SL,2020,0,0,0,0,0
Cherepo,CH,2014,28.901520286329202,28.897369041666668,29.15137023611111,30.18418775,30.535245618055555
Cherepo,CH,2015,29.319502893569958,29.218066375,29.589445774305553,30.607795080555555,30.829681319444443
Cherepo,CH,2017,29.336720780876952,29.373127305555556,29.79283761111111,30.158113979166668,30.631216708333334
Chicken Reef,CH,1996,27.459530303030302,27.4575,27.508333333333333,27.56712121212121,27.581818181818182
Chicken Reef,CH,1997,27.674110961841176,27.857916666666668,28.124583333333334,28.279000000000003,28.355
Chicken Reef,CH,1998,28.388434454502132,28.209375,28.689375000000002,29.42875,29.575625
Chicken Reef,CH,1999,28.27331776506105,28.52145833333333,28.836666666666666,29.0740625,29.175
Chicken Reef,CH,2000,27.748446280917456,27.869374999999998,28.051953125,28.47334375,28.742083333333333
Chicken Reef,CH,2001,27.938908592696794,28.128124999999997,28.454041666666665,28.813,28.922708333333333
Chicken Reef,CH,2002,28.50695127147673,28.756955208333334,29.099304166666666,29.65605,29.947941666666665
Chicken Reef,CH,2003,28.124609393939394,28.09009375,28.360489583333333,28.949885416666667,29.111647916666666
Chicken Reef,CH,2004,28.263799906528618,28.554078125,28.857015625,29.555541666666663,29.954552083333333
Chicken Reef,CH,2006,28.358653371030883,28.425270833333332,28.831114583333335,29.211197916666666,29.461114583333334
Chicken Reef,CH,2007,28.24863044077135,28.429589583333335,28.728811458333332,29.124371875,29.26295625
Chicken Reef,CH,2008,28.979937901297813,29.3824578125,29.897142447916668,30.145097760416668,30.386408333333332
Chicken Reef,CH,2009,29.008648246011948,29.101479166666667,29.529189583333334,30.085653125,30.303561458333334
Chicken Reef,CH,2010,28.13870423017061,28.294896788194446,28.540352003472222,28.90275575347222,29.07883121875
Chicken Reef,CH,2011,28.309762284367913,28.309762284367913,28.367630242878402,28.41392460968679,28.42549820138889
Chicken Reef,CH,2012,28.28229363364071,28.34107713541667,28.860633800347223,29.434781771875,29.849867548611112
Chicken Reef,CH,2013,28.267715568067032,28.26408203472222,28.5964195625,29.287286555555557,29.47304726388889
Chicken Reef,CH,2014,27.788261686581727,27.93207196527778,28.199648916666668,28.54648453472222,28.80321848611111
Chicken Reef,CH,2015,28.70840604737718,28.786266524305557,29.039496899305554,29.315661524305554,29.578534496527777
Chicken Reef,CH,2016,28.76810612943989,28.920219559027778,29.21311107465278,29.435516720138885,29.802635909722223
Chicken Reef,CH,2017,28.70299183976125,28.96347273611111,29.222018038194445,29.49587814236111,29.789186541666666
Chicken Reef,CH,2018,0,0,0,0,0
Chinaman Reef,CH,2012,27.043131561088426,27.157875368055556,27.726492973958337,27.901554786458334,27.932059638888887
Chinaman Reef,CH,2014,26.903476699322773,26.761783868055556,27.289448305555556,27.596321479166665,27.75372853472222
Chinaman Reef,CH,2015,27.423581665376442,27.490979397569443,27.679361662326386,28.122834982118057,28.269723694444444
Chinaman Reef,CH,2016,27.42724954663046,27.564376592013886,27.740436362847223,28.15042907378472,28.441379618055556
Chinaman Reef,CH,2017,27.499342912961204,27.695323289930556,27.97919326996528,28.321436135243058,28.5038395625
Chinaman Reef,CH,2018,27.027739785098248,27.27448476388889,27.461506739583335,27.754949354166666,27.981360541666668
Chinaman Reef,CH,2019,26.94612796349665,27.001466597222223,27.318307177083334,27.564228163194443,27.740697590277776
